ticker,metric,period_end,period_type,value,unit,fy,fp,form,source,retrieved
RNR,eps,2010-12-31,A,12.31,USD/shares,2012,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2010-12-31,Q,2.23,USD/shares,2011,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2011-03-31,Q,-4.69,USD/shares,2012,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2011-06-30,Q,0.48,USD/shares,2012,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2011-09-30,Q,0.95,USD/shares,2012,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2011-12-31,A,-1.84,USD/shares,2013,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2011-12-31,Q,1.58,USD/shares,2012,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2012-03-31,Q,3.88,USD/shares,2013,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2012-06-30,Q,2.75,USD/shares,2013,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2012-09-30,Q,3.62,USD/shares,2013,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2012-12-31,A,11.23,USD/shares,2014,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2012-12-31,Q,0.87,USD/shares,2013,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2013-03-31,Q,4.23,USD/shares,2014,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2013-06-30,Q,0.6,USD/shares,2014,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2013-09-30,Q,4.01,USD/shares,2014,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2013-12-31,A,14.87,USD/shares,2015,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2013-12-31,Q,6.05,USD/shares,2014,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2014-03-31,Q,3.56,USD/shares,2015,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2014-06-30,Q,2.95,USD/shares,2015,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2014-09-30,Q,1.7,USD/shares,2015,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2014-12-31,A,12.6,USD/shares,2016,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2014-12-31,Q,4.42,USD/shares,2015,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2015-03-31,Q,4.14,USD/shares,2016,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2015-06-30,Q,1.59,USD/shares,2016,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2015-09-30,Q,1.66,USD/shares,2016,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2015-12-31,A,9.28,USD/shares,2017,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2015-12-31,Q,2.09,USD/shares,2016,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2016-03-31,Q,2.95,USD/shares,2017,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2016-06-30,Q,3.22,USD/shares,2017,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2016-09-30,Q,3.56,USD/shares,2017,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2016-12-31,A,11.43,USD/shares,2018,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2016-12-31,Q,1.69,USD/shares,2017,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2017-03-31,Q,2.25,USD/shares,2018,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2017-06-30,Q,4.24,USD/shares,2018,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2017-09-30,Q,-12.75,USD/shares,2018,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2017-12-31,A,-6.15,USD/shares,2019,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2017-12-31,Q,-0.09,USD/shares,2018,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2018-03-31,Q,1.42,USD/shares,2019,FY,10-K,SEC EDGAR,2026-06-15
RNR,eps,2018-06-30,Q,4.78,USD/shares,2019,FY,10-K,SEC EDGAR,2026-06-15
