name,asset_class,asset_subclass,region,country_market,sector_style,market_cap_focus,maturity_focus,credit_quality,commodity_group,base_currency,hedged,hedge_currency,proxy_flag,proxy_type,data_source,validation_status,ticker_yfinance_pr,ticker_yfinance_tr,ticker_investiny,ticker_fred_tr,ticker_fred_yield,ticker_fred_oas,ticker_fred_spread,ticker_fred_duration,data_start
Nifty Bank,Equity,,Asia Pacific,India,N/A,N/A,N/A,N/A,N/A,INR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^NSEBANK,,,,,,,,17/09/2007
Nifty Energy,Equity,Equity Sector,Asia Pacific,India,Energy,N/A,N/A,N/A,N/A,INR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^CNXENERGY,,,,,,,,31/01/2011
Nifty FMCG,Equity,,Asia Pacific,India,N/A,N/A,N/A,N/A,N/A,INR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^CNXFMCG,,,,,,,,31/01/2011
Nifty Infrastructure,Equity,,Asia Pacific,India,N/A,N/A,N/A,N/A,N/A,INR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^CNXINFRA,,,,,,,,19/07/2010
Nifty Metal,Equity,,Asia Pacific,India,N/A,N/A,N/A,N/A,N/A,INR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^CNXMETAL,,,,,,,,12/07/2011
Nifty Pharma,Equity,,Asia Pacific,India,N/A,N/A,N/A,N/A,N/A,INR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^CNXPHARMA,,,,,,,,31/01/2011
Nifty Realty,Equity,,Asia Pacific,India,N/A,N/A,N/A,N/A,N/A,INR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^CNXREALTY,,,,,,,,19/07/2010
CBOE VIX Volatility Index,Volatility,,,,N/A,N/A,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^VIX,,,,,,,,02/01/1990
CBOE VIX9D - 9-Day VIX,Volatility,,North America,United States,N/A,N/A,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^VIX9D,,,,,,,,03/01/2011
CBOE VIX3M - 3-Month VIX,Volatility,,North America,United States,N/A,N/A,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^VIX3M,,,,,,,,17/07/2006
CBOE VVIX - Volatility of VIX,Volatility,,North America,United States,N/A,N/A,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^VVIX,,,,,,,,03/01/2007
CBOE SKEW Index,Volatility,,North America,United States,N/A,N/A,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SKEW,,,,,,,,02/01/1990
